Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km],rm0 [Ω/km],xm0 [Ω/km],bm0 [μS/km]
4 x Rail,954,3125,4225,0.0176,0.2693,6.2224,0.2894,1.1909,3.4134,0.2717,0.8423,-1.3155
4 x Ortolan,1033,3280,4435,0.0163,0.2685,6.2398,0.2877,1.1909,3.4161,0.2713,0.8430,-1.3217
4 x Bluejay,1113,3425,4645,0.0153,0.2679,6.2573,0.2866,1.1904,3.4213,0.2713,0.8431,-1.3262
