,Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km],rm0 [Ω/km],xm0 [Ω/km],bm0 [μS/km],Zc [Ω/km],Pn [MW],Ir [A]
0,4 x Hawk,477,2120,2835,0.0343,0.3142,5.2791,0.3155,1.2461,3.0943,0.2812,0.8504,-1.0561,243.963,793.563,1041.0
1,4 x Dove,556,2330,3125,0.0295,0.3126,5.3043,0.3101,1.2455,3.1005,0.2808,0.8513,-1.0645,242.762,797.489,1046.0
2,4 x Squab,605,2450,3290,0.0272,0.3119,5.316,0.3068,1.2466,3.0986,0.2798,0.8532,-1.0722,242.223,799.263,1049.0
3,4 x Grosbeak,636,2525,3395,0.0259,0.3114,5.3255,0.3061,1.2451,3.1052,0.2803,0.8522,-1.072,241.813,800.619,1051.0
4,4 x Gannet,666,2595,3495,0.0247,0.3109,5.3342,0.3051,1.2442,3.1098,0.2805,0.8518,-1.073,241.421,801.919,1052.0
5,4 x Starling,716,2710,3655,0.0231,0.3103,5.3461,0.3033,1.244,3.1129,0.2803,0.8521,-1.0768,240.92,803.586,1054.0
6,4 x Drake,795,2890,3900,0.0209,0.3094,5.3641,0.301,1.2431,3.1192,0.2803,0.8522,-1.0814,240.166,806.109,1058.0
7,4 x Tern,795,2860,3865,0.0209,0.3105,5.3385,0.2957,1.254,3.0762,0.275,0.862,-1.1022,241.169,802.757,1053.0
8,4 x Ruddy,900,3085,4170,0.0185,0.3095,5.3609,0.2939,1.252,3.087,0.2755,0.861,-1.1053,240.277,805.737,1057.0
9,4 x Rail,954,3190,4310,0.0175,0.3088,5.3687,0.2916,1.2538,3.0824,0.2742,0.8634,-1.1133,239.83,807.238,1059.0
10,4 x Ortolan,1033,3345,4525,0.0163,0.3081,5.3816,0.2899,1.2539,3.0844,0.2738,0.8643,-1.1186,239.271,809.124,1062.0
11,4 x Bluejay,1113,3495,4740,0.0152,0.3074,5.3945,0.2887,1.2533,3.0885,0.2737,0.8644,-1.1222,238.713,811.016,1064.0
