,Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km],Zc [Ω/km],Pn [MW],Ir [A]
0,1 x Drake,795,735,995,0.0815,0.4402,3.7504,0.4367,1.4838,2.0713,342.599,154.408,388.0
1,1 x Ruddy,900,785,1065,0.0725,0.4402,3.7601,0.4135,1.5089,2.003,342.157,154.607,388.0
2,1 x Rail,954,810,1100,0.0685,0.4377,3.7793,0.4059,1.5127,1.9922,340.316,155.444,390.0
3,1 x Ortolan,1033,850,1155,0.0634,0.4346,3.8061,0.3997,1.5118,1.9939,337.913,156.549,393.0
4,1 x Bluejay,1113,890,1210,0.0591,0.4321,3.832,0.3952,1.5095,2.0026,335.799,157.535,395.0
5,2 x Hawk,477,1070,1430,0.0678,0.3104,5.2803,0.4259,1.3489,2.4893,242.455,218.185,548.0
6,2 x Dove,556,1175,1580,0.0581,0.3073,5.3316,0.4148,1.3484,2.4897,240.078,220.345,553.0
7,2 x Squab,605,1235,1660,0.0535,0.3057,5.3577,0.4071,1.3523,2.4733,238.868,221.461,556.0
8,2 x Grosbeak,636,1275,1715,0.0509,0.3049,5.3757,0.4061,1.3486,2.4885,238.156,222.123,558.0
9,2 x Gannet,666,1310,1765,0.0486,0.3039,5.3928,0.4045,1.3463,2.4974,237.388,222.842,559.0
10,2 x Starling,716,1370,1845,0.0454,0.3026,5.4175,0.4007,1.3461,2.4983,236.339,223.831,562.0
11,2 x Drake,795,1460,1970,0.0409,0.3008,5.4545,0.3961,1.3445,2.5052,234.834,225.266,565.0
12,2 x Tern,795,1445,1950,0.041,0.303,5.4156,0.3806,1.3742,2.3859,236.536,223.645,561.0
13,2 x Ruddy,900,1555,2105,0.0363,0.3008,5.4603,0.3773,1.3696,2.4039,234.709,225.385,566.0
14,2 x Rail,954,1610,2185,0.0343,0.2996,5.4796,0.3718,1.3747,2.3838,233.828,226.235,568.0
15,2 x Ortolan,1033,1690,2295,0.0318,0.298,5.5075,0.368,1.3753,2.381,232.611,227.418,571.0
16,2 x Bluejay,1113,1765,2400,0.0296,0.2967,5.5347,0.3657,1.3743,2.3852,231.532,228.478,574.0
