,Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km],rm0 [Ω/km],xm0 [Ω/km],bm0 [μS/km],Zc [Ω/km],Pn [MW],Ir [A]
0,2 x Drake,795,1460,1970,0.0411,0.3619,4.5888,0.3375,1.3343,2.7679,0.2964,0.8935,-0.9542,280.831,423.831,709.0
1,2 x Tern,795,1445,1950,0.0412,0.3641,4.5586,0.3301,1.35,2.7223,0.2891,0.9069,-0.9756,282.615,421.156,705.0
2,2 x Ruddy,900,1555,2105,0.0365,0.3619,4.5907,0.3262,1.3465,2.738,0.2898,0.9057,-0.9812,280.773,423.919,709.0
3,2 x Rail,954,1610,2185,0.0345,0.3607,4.6038,0.3224,1.3485,2.7358,0.288,0.9089,-0.9911,279.908,425.229,712.0
4,2 x Ortolan,1033,1690,2295,0.032,0.3592,4.6234,0.3193,1.3481,2.741,0.2874,0.9101,-0.9983,278.732,427.023,715.0
5,2 x Bluejay,1113,1765,2400,0.0299,0.3579,4.6426,0.317,1.347,2.7483,0.2873,0.9102,-1.0034,277.652,428.684,717.0
6,3 x Hawk,477,1590,2125,0.0455,0.3217,5.157,0.3432,1.2918,2.9919,0.2978,0.8909,-1.0893,249.762,476.554,798.0
7,3 x Dove,556,1745,2345,0.0391,0.3197,5.1893,0.3361,1.291,3.0007,0.2971,0.8921,-1.0999,248.209,479.535,802.0
8,3 x Squab,605,1835,2465,0.036,0.3186,5.2048,0.3316,1.2926,2.9996,0.2957,0.8947,-1.1094,247.412,481.08,805.0
9,3 x Grosbeak,636,1895,2545,0.0343,0.318,5.2168,0.3306,1.2906,3.0077,0.2965,0.8934,-1.1093,246.895,482.088,807.0
10,3 x Gannet,666,1945,2620,0.0328,0.3174,5.2279,0.3294,1.2894,3.0135,0.2968,0.8928,-1.1106,246.4,483.056,808.0
11,3 x Starling,716,2035,2740,0.0306,0.3166,5.2433,0.327,1.289,3.018,0.2965,0.8933,-1.1154,245.727,484.379,811.0
12,3 x Drake,795,2165,2925,0.0276,0.3153,5.2666,0.3239,1.2879,3.0264,0.2964,0.8934,-1.1212,244.679,486.454,814.0
13,3 x Tern,795,2145,2895,0.0276,0.3169,5.2364,0.3166,1.3029,2.9779,0.2891,0.9068,-1.1454,246.005,483.832,810.0
14,3 x Ruddy,900,2310,3130,0.0245,0.3154,5.265,0.3141,1.3002,2.9915,0.2898,0.9056,-1.1497,244.755,486.303,814.0
15,3 x Rail,954,2395,3245,0.0232,0.3146,5.2758,0.311,1.3026,2.9873,0.288,0.9088,-1.1595,244.194,487.42,816.0
16,3 x Ortolan,1033,2510,3410,0.0215,0.3136,5.2927,0.3087,1.3027,2.9906,0.2874,0.91,-1.1661,243.416,488.978,818.0
17,3 x Bluejay,1113,2620,3565,0.02,0.3127,5.3096,0.3072,1.302,2.9965,0.2873,0.9101,-1.1705,242.679,490.463,821.0
