,Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km],Zc [Ω/km],Pn [MW],Ir [A]
0,2 x Starling,716,1370,1845,0.0456,0.3787,4.3704,0.3657,1.2659,2.8394,294.366,404.344,677.0
1,2 x Drake,795,1460,1970,0.0411,0.3768,4.3945,0.3612,1.2642,2.849,292.82,406.478,680.0
2,2 x Tern,795,1445,1950,0.0411,0.3791,4.3631,0.3517,1.2835,2.7461,294.767,403.794,676.0
3,2 x Ruddy,900,1555,2105,0.0365,0.3769,4.3927,0.3479,1.2797,2.7655,292.919,406.341,680.0
4,2 x Rail,954,1610,2185,0.0345,0.3757,4.4039,0.3436,1.2826,2.7494,292.08,407.508,682.0
5,2 x Ortolan,1033,1690,2295,0.0319,0.3741,4.4215,0.3403,1.2825,2.7491,290.877,409.194,685.0
6,2 x Bluejay,1113,1765,2400,0.0298,0.3729,4.439,0.338,1.2814,2.7551,289.837,410.662,687.0
7,3 x Hawk,477,1590,2125,0.0455,0.3368,4.9076,0.3674,1.221,3.0593,261.97,454.346,760.0
8,3 x Dove,556,1745,2345,0.039,0.3348,4.936,0.36,1.2204,3.0597,260.438,457.019,765.0
9,3 x Squab,605,1835,2465,0.036,0.3338,4.9489,0.3551,1.2227,3.0446,259.71,458.3,767.0
10,3 x Grosbeak,636,1895,2545,0.0343,0.3332,4.9602,0.3544,1.2204,3.0586,259.181,459.235,769.0
11,3 x Gannet,666,1945,2620,0.0327,0.3325,4.9703,0.3533,1.219,3.0666,258.645,460.187,770.0
12,3 x Starling,716,2035,2740,0.0305,0.3317,4.9839,0.3507,1.2188,3.0674,257.981,461.371,772.0
13,3 x Drake,795,2165,2925,0.0276,0.3304,5.0046,0.3477,1.2177,3.0735,256.942,463.237,775.0
14,3 x Tern,795,2145,2895,0.0275,0.332,4.9728,0.3381,1.2363,2.9572,258.386,460.648,771.0
15,3 x Ruddy,900,2310,3130,0.0244,0.3306,4.9987,0.3359,1.2333,2.9745,257.172,462.823,775.0
16,3 x Rail,954,2395,3245,0.0231,0.3297,5.0074,0.3322,1.2366,2.9532,256.598,463.858,776.0
17,3 x Ortolan,1033,2510,3410,0.0214,0.3287,5.0222,0.3297,1.237,2.9494,255.831,465.249,779.0
18,3 x Bluejay,1113,2620,3565,0.0199,0.3279,5.0371,0.3282,1.2363,2.9532,255.141,466.507,781.0
